code	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Anadon-Rosell et al 2017_49	COV	2	108	8.485281374	0	NA	NA	2	118.5	4.949747468	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_50	COV	2	140	5.656854249	0	NA	NA	2	132	4.242640687	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_50	Ratio_S	2	86.74428105	2.050840741	0	NA	NA	2	91.27476314	0.816126687	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Baez et al., 2013_10	COV	8	6.125673077	3.982868023	5	4.411346154	2.947581325	0	NA	NA	5	13.51184615	5.793876552	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	2	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_10	Ratio_S	7	27.87428571	9.338177654	5	30.972	21.64063238	0	NA	NA	4	39.62	10.03980411	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	2	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_10	SP	7	21.37362637	2.207852476	5	19	7.490625303	0	NA	NA	4	24.80769231	3.559857276	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	2	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_11	SP	7	27.63736264	3.83606736	5	25.07692307	6.426645716	0	NA	NA	4	28.07692308	2.452708523	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	2	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_11	Ratio_S	7	16.47621963	5.490412201	5	24.52404224	6.64315748	0	NA	NA	4	37.32290742	14.03336338	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	2	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Baez et al., 2013_11	COV	8	11.16334135	7.16291438	5	9.895192308	9.111373849	0	NA	NA	5	14.46707692	9.017155894	0	NA	NA	0	NA	NA	0	NA	NA	34.5	-106.9	1	2	13.2	250	Med & Des	NA	NA	-120.4	139.5	NA	NA	NA	NA	NA
Benvenutto-Vargas & Ochoa-Hueso, 2020_122	COV	1	48.21	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	32.87	NA	0	NA	NA	0	NA	NA	40	-3.6	1	3	15	425	med & Des	NA	NA	NA	NA	1	NA	NA	NA	NA
Benvenutto-Vargas & Ochoa-Hueso, 2020_122	Ratio_S	1	85.93775435	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	80.41	NA	0	NA	NA	0	NA	NA	40	-3.6	1	3	15	425	med & Des	NA	NA	NA	NA	1	NA	NA	NA	NA
Benvenutto-Vargas & Ochoa-Hueso, 2020_123	Ratio_S	1	85.93775435	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	69.59	NA	0	NA	NA	0	NA	NA	40	-3.6	1	3	15	425	med & Des	NA	NA	NA	NA	2	NA	NA	NA	NA
Benvenutto-Vargas & Ochoa-Hueso, 2020_123	COV	1	48.21	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	32.5	NA	0	NA	NA	0	NA	NA	40	-3.6	1	3	15	425	med & Des	NA	NA	NA	NA	2	NA	NA	NA	NA
Benvenutto-Vargas & Ochoa-Hueso, 2020_124	Ratio_S	1	85.93775435	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	90.36	NA	0	NA	NA	0	NA	NA	40	-3.6	1	3	15	425	med & Des	NA	NA	NA	NA	5	NA	NA	NA	NA
Benvenutto-Vargas & Ochoa-Hueso, 2020_124	COV	1	48.21	NA	0	NA	NA	0	NA	NA	0	NA	NA	1	23.19	NA	0	NA	NA	0	NA	NA	40	-3.6	1	3	15	425	med & Des	NA	NA	NA	NA	5	NA	NA	NA	NA
Biasi et al (2008)_40	AGB	1	1952.27	NA	0	NA	NA	1	2390.91	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.93	74.85	1	1	-8.8	370	Arc	3.6	NA	NA	NA	NA	NA	NA	NA	NA
Biasi et al (2008)_40	Ratio_S	1	7.95	NA	0	NA	NA	1	7.7	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.93	74.85	1	1	-8.8	370	Arc	3.6	NA	NA	NA	NA	NA	NA	NA	NA
Biasi et al (2008)_40	AGB_S	1	155.1136364	NA	0	NA	NA	1	184.0909091	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	67.93	74.85	1	1	-8.8	370	Arc	3.6	NA	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	COV	4	97.32947356	7.774203408	0	NA	NA	4	96.5375	5.865858136	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	3	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	AGB_S	4	1006.718873	100.6845532	0	NA	NA	4	988.8875	95.15487144	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	3	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	AGB	4	1076.029218	174.0982456	0	NA	NA	4	1040.265	135.4015107	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	3	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	Ratio_S	8	90.10100623	8.214882236	0	NA	NA	8	92.03617992	6.413758949	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	3	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Borkhorst et al 2017_53	SP	4	5.583333333	1.044353865	0	NA	NA	4	5.333333333	1.103855336	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	-51.48	-58.9	1	3	7	575	Arc	0.7	1	NA	NA	NA	NA	NA	NA	NA
Brancaleoni et al 2007_7	SP	5	11.36	0.62289646	0	NA	NA	0	NA	NA	5	11	0.860232527	5	10.056	1.794346678	5	9.76	0.85322916	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_7	AGB_S	5	250.3529412	22.90948036	0	NA	NA	0	NA	NA	5	258.6915888	23.25582205	5	226.9565217	18.29189908	5	229.3333333	25.06288384	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_7	AGB	5	422.2608696	38.77909909	0	NA	NA	0	NA	NA	5	424.2654028	52.60279219	5	454.8066298	63.13155018	5	440.2247191	40.06843029	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_7	Ratio_S	5	59.71	2.837216946	0	NA	NA	0	NA	NA	5	61.69	3.5611866	5	50.70005969	7.176616303	5	52.85063832	8.71643782	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	Ratio_S	5	76.57	1.710979252	0	NA	NA	0	NA	NA	5	74.39	2.543186977	5	65.448	12.58655116	5	58.09	10.98411125	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	AGB_S	5	352.9411765	18.8235294	0	NA	NA	0	NA	NA	5	324.488	27.13721835	5	296.8	20.47437423	5	269.6629213	14.90617881	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	AGB	5	462.6086957	26.26029371	0	NA	NA	0	NA	NA	5	442.464455	48.2407654	5	505.1933702	73.4012781	5	463.1460674	70.64994852	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al 2007_8	SP	5	10.48	0.782304289	0	NA	NA	0	NA	NA	5	11.84	1.438054241	5	11.36	0.931665176	5	11.76	1.458766602	0	NA	NA	44.13	10.6	1	2	NA	1300	Alp	NA	NA	NA	70	2.5	NA	NA	NA	175
Brancaleoni et al., 2014_100_1	H	4	1.7375	0.065510813	0	NA	NA	0	NA	NA	0	NA	NA	4	1.853845332	0.035966084	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_100_1	SP	4	8.3975	0.835718254	0	NA	NA	0	NA	NA	0	NA	NA	4	8.635	0.318904374	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_100_1	DEN	4	79.78803191	18.21722709	0	NA	NA	0	NA	NA	0	NA	NA	4	76.27664894	17.39198086	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_100_2	DEN	4	79.78803191	18.21722709	0	NA	NA	0	NA	NA	0	NA	NA	4	82.3375	26.15092016	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_100_2	SP	4	8.3975	0.835718254	0	NA	NA	0	NA	NA	0	NA	NA	4	8.995	0.51	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_100_2	H	4	1.7375	0.065510813	0	NA	NA	0	NA	NA	0	NA	NA	4	1.849546411	0.03754747	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_101_1	H	4	1.9225	0.034034296	0	NA	NA	0	NA	NA	0	NA	NA	4	2.083606587	0.07909723	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_101_1	DEN	4	113.9375	26.12607175	0	NA	NA	0	NA	NA	0	NA	NA	4	121.5975	22.89485004	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_101_1	SP	4	9.5425	0.660119939	0	NA	NA	0	NA	NA	0	NA	NA	4	11.49	1.191049957	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	1	NA	NA	NA	NA
Brancaleoni et al., 2014_101_2	DEN	4	113.9375	26.12607175	0	NA	NA	0	NA	NA	0	NA	NA	4	125.105	33.88689963	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_101_2	H	4	1.9225	0.034034296	0	NA	NA	0	NA	NA	0	NA	NA	4	2.064975209	0.112688885	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Brancaleoni et al., 2014_101_2	SP	4	9.5425	0.660119939	0	NA	NA	0	NA	NA	0	NA	NA	4	11.3925	1.229318917	0	NA	NA	0	NA	NA	46.35	11.73	1	2	NA	NA	Alp	NA	NA	NA	NA	3	NA	NA	NA	NA
Campioli et al., 2012_25	COV	1	156.8627451	23.49060663	0	NA	NA	1	217.6470588	30.20220853	0	NA	NA	1	219.6078431	18.46915266	0	NA	NA	1	267.6470588	41.95975929	68.35	18.82	1	3	3.9	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Campioli et al., 2012_25	Ratio_S	1	93.7804878	NA	0	NA	NA	1	94.81707317	NA	0	NA	NA	1	89.17138502	NA	0	NA	NA	1	78.5848298	NA	68.35	18.82	1	3	3.9	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Carpenter et al., 1990_95	SP	3	35.23333333	3.280751946	0	NA	NA	0	NA	NA	0	NA	NA	3	28.73333333	4.56216323	0	NA	NA	0	NA	NA	39.9	-108.11	2	1	NA	282	tem	NA	NA	NA	NA	10	NA	NA	NA	NA
Cotrufo et al 2011_65	ANPP	1	477	NA	1	415.5	NA	0	NA	NA	1	682.5	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.18	11.93	1	2	15.13	696	Med & Des	NA	NA	-150.76	295.5	NA	NA	NA	NA	NA
Dawes et al 2015_37	AGB_S	1	105.3571429	71.87361356	0	NA	NA	1	250	173.6945661	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_37	Ratio_S	1	0.632142857	NA	0	NA	NA	1	0.840517241	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_37	AGB	1	166.6666667	68.80209162	0	NA	NA	1	297.4358974	114.6701527	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_38	AGB	1	269.2307692	126.137168	0	NA	NA	1	264.1025641	108.9366451	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_38	AGB_S	1	220.5357143	89.84201695	0	NA	NA	1	241.9642857	77.86308136	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
Dawes et al 2015_38	Ratio_S	1	0.819132653	NA	0	NA	NA	1	0.916175451	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	46.77	9.87	1	2	2.1	1155	Alp	NA	4	NA	NA	NA	NA	NA	NA	NA
de Dato et al., 2004_82	AGB	2	84.085	32.36427737	2	75.465	26.67913885	2	88.75	35.70889245	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.8	640	med & Des	NA	0.9	-108	NA	NA	NA	NA	NA	NA
de Dato et al., 2006_165	COV	4	83.8317757	5.074344661	4	77.6635514	4.932360492	4	88.41121495	4.811647248	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	40.62	8.17	1	1	16.8	640	med & Des	NA	1	-108	NA	NA	NA	NA	NA	NA
Demarco et al 2014_43	AGB	1	913.0434783	354.0372671	0	NA	NA	1	1481.36646	503.1055901	0	NA	NA	1	1630.434783	372.6708075	0	NA	NA	1	3493.78882	1900.621118	68.63	-149.63	1	3	-10	318	Arc	0.5	4.57	NA	NA	10	NA	45.7	NA	NA
Demarco et al 2014_43	AGB_S	1	801	NA	0	NA	NA	1	1444	NA	0	NA	NA	1	1601	NA	0	NA	NA	1	3470	NA	68.63	-149.63	1	3	-10	318	Arc	0.5	4.57	NA	NA	10	NA	45.7	NA	NA
Demarco et al 2014_43	ANPP	1	340.4255319	153.1914894	0	NA	NA	1	414.1843972	124.822695	0	NA	NA	1	490.7801418	34.04255319	0	NA	NA	1	910.6382979	499.2907801	68.63	-149.63	1	3	-10	318	Arc	0.5	4.57	NA	NA	10	NA	45.7	NA	NA
Demarco et al 2014_43	Ratio_S	1	87.16	NA	0	NA	NA	1	97.83	NA	0	NA	NA	1	98.52	NA	0	NA	NA	1	99.57	NA	68.63	-149.63	1	3	-10	318	Arc	0.5	4.57	NA	NA	10	NA	45.7	NA	NA
Demarco et al 2014_43	SP	1	21	NA	0	NA	NA	1	13	NA	0	NA	NA	1	12	NA	0	NA	NA	1	6	NA	68.63	-149.63	1	3	-10	318	Arc	0.5	4.57	NA	NA	10	NA	45.7	NA	NA
Dias et al., 2011_98	H	2	2.289401569	0	0	NA	NA	0	NA	NA	0	NA	NA	2	2.431453167	0.036230298	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Dias et al., 2011_98	SP	2	18.95348837	0	0	NA	NA	0	NA	NA	0	NA	NA	2	20.465	0.332340187	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Dias et al., 2011_99	SP	2	16.51	0	0	NA	NA	0	NA	NA	0	NA	NA	2	22.44	2.630437226	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Dias et al., 2011_99	H	2	1.886370902	0	0	NA	NA	0	NA	NA	0	NA	NA	2	2.390085533	0.098366282	0	NA	NA	0	NA	NA	38.47	-9.02	1	1	NA	730	tem	NA	NA	NA	NA	4	NA	NA	NA	NA
Germino and Reinhardt, 2014_44	DEN	1	7.34939759	3.505837779	0	NA	NA	0	NA	NA	1	9.686746988	4.215352568	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_44	COV	15	8.027777777	3.029151792	0	NA	NA	0	NA	NA	15	8.416666667	3.440249622	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_45	DEN	1	7.34939759	3.505837779	0	NA	NA	0	NA	NA	1	6.674698795	2.504169842	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_45	COV	15	8.027777777	3.029151792	0	NA	NA	0	NA	NA	15	3.513888889	2.290132964	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_46	COV	15	6.254545455	2.843248388	0	NA	NA	0	NA	NA	15	7.26060606	3.103463173	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_46	DEN	1	10.3373494	3.839727091	0	NA	NA	0	NA	NA	1	10	3.088476139	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_47	DEN	1	10.3373494	3.839727091	0	NA	NA	0	NA	NA	1	9.34939759	1.168612593	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Germino and Reinhardt, 2014_47	COV	15	6.254545455	2.843248388	0	NA	NA	0	NA	NA	15	9.34939759	1.168612593	0	NA	NA	0	NA	NA	0	NA	NA	43.6	-112.9	1	3	5.5	220	Med & Des	NA	NA	NA	200	NA	NA	NA	NA	NA
Gorissen et al., 2004_162	AGB	1	37.2	NA	1	35.5	NA	1	33.6	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	56.38	10.9	1	1	9.4	758	tem	0.6	NA	-132	NA	NA	NA	NA	NA	NA
Gorissen et al., 2004_163	AGB	1	25.2	NA	1	28.8	NA	1	29.9	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	53.05	-3.47	1	1	8.2	1741	tem	0.6	NA	-147	NA	NA	NA	NA	NA	NA
Gorissen et al., 2004_164	AGB	1	58.6	NA	1	37.8	NA	1	43	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	41.3	1.82	1	1	15.1	455	Med & Des	0.6	NA	-32	NA	NA	NA	NA	NA	NA
Gough & Hobbie, 2003_76	AGB	1	408.1	58.19690713	0	NA	NA	1	337.6	59.4093427	0	NA	NA	1	378.8	69.97485263	0	NA	NA	0	NA	NA	68.63	-149.6	1	1	-8.7	320	Arc	NA	1.5	NA	NA	10	NA	NA	NA	NA
Gough & Hobbie, 2003_76	AGB_S	1	96.6	NA	0	NA	NA	1	100.1	NA	0	NA	NA	1	83.8	NA	0	NA	NA	0	NA	NA	68.63	-149.6	1	1	-8.7	320	Arc	NA	1.5	NA	NA	10	NA	NA	NA	NA
Gough & Hobbie, 2003_76	SP	1	48	NA	0	NA	NA	1	54	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	68.63	-149.6	1	1	-8.7	320	Arc	NA	1.5	NA	NA	10	NA	NA	NA	NA
Gough & Hobbie, 2003_76	ANPP	1	128.4615385	23.98224195	0	NA	NA	1	142.3076923	6.661733875	0	NA	NA	1	147.6923077	25.31458873	0	NA	NA	0	NA	NA	68.63	-149.6	1	1	-8.7	320	Arc	NA	1.5	NA	NA	10	NA	NA	NA	NA
Gough & Hobbie, 2003_76	Ratio_S	1	25.77	NA	0	NA	NA	1	37.36263736	NA	0	NA	NA	1	17.2	NA	0	NA	NA	0	NA	NA	68.63	-149.6	1	1	-8.7	320	Arc	NA	1.5	NA	NA	10	NA	NA	NA	NA
Graglia et al (2001)_23_1	DEN	3	423.8566667	42.45669598	0	NA	NA	3	410.8933333	35.19379254	0	NA	NA	3	539.6514161	36.05499935	0	NA	NA	3	541.285403	47.35894372	68.35	18.82	1	3	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_23_1	Ratio_S	3	67.23239311	2.94407061	0	NA	NA	3	67.99245426	1.15712983	0	NA	NA	3	61.39992403	2.720289071	0	NA	NA	3	65.25094864	3.073340855	68.35	18.82	1	3	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_23_2	DEN	3	423.8566667	42.45669598	0	NA	NA	3	493.6833333	71.20900598	0	NA	NA	0	NA	NA	0	NA	NA	3	498.6928105	52.09420943	68.35	18.82	1	3	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Graglia et al (2001)_23_2	Ratio_S	3	67.23239311	2.94407061	0	NA	NA	3	70.22063396	1.022180722	0	NA	NA	0	NA	NA	0	NA	NA	3	64.438709	2.978140504	68.35	18.82	1	3	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Graglia et al (2001)_24_1	Ratio_S	3	80.46256092	4.37079041	0	NA	NA	3	81.6031388	0.856084069	0	NA	NA	3	80.84298732	6.097958848	0	NA	NA	3	66.48974204	4.654846664	68.35	18.82	1	3	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_24_1	DEN	3	193.9533333	16.91933903	0	NA	NA	3	212.9433333	8.793704187	0	NA	NA	3	190.7715124	8.86261711	0	NA	NA	3	269.8000255	12.26516861	68.35	18.82	1	3	-1	304	Arc	NA	2.73	NA	NA	10	NA	27.3	NA	NA
Graglia et al (2001)_24_2	DEN	3	193.9533333	16.91933903	0	NA	NA	3	209.6533333	7.71767668	0	NA	NA	0	NA	NA	0	NA	NA	3	268.6046969	22.77679753	68.35	18.82	1	3	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Graglia et al (2001)_24_2	Ratio_S	3	80.46256092	4.37079041	0	NA	NA	3	73.91990638	2.107393678	0	NA	NA	0	NA	NA	0	NA	NA	3	67.79024748	2.276175827	68.35	18.82	1	3	-1	304	Arc	NA	3.85	NA	NA	10	NA	38.5	NA	NA
Harte et al., 2015 GCB_75	AGB_S	18	58.64197531	19.45974085	0	NA	NA	18	103.5390946	41.15931192	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	38.95	-106.98	1	3	NA	750	Alp	NA	2	NA	NA	NA	NA	NA	NA	NA
